ident,latitude_deg,longitude_deg,iso_country
ABI,32.481300354003906,-99.8635025024414,US
ABQ,35.043800354003906,-106.81600189208984,US
ABR,45.41740036010742,-98.3686981201172,US
AC,43.86090087890625,-66.0436019897461,CA
AC,31.694000244140625,-97.20379638671876,US
AC,41.31110000610352,-69.98670196533203,US
ACA,16.758499145507812,-99.75399780273438,MX
ACE,59.641300201416016,-151.5,US
ACH,35.111698150634766,-105.04000091552734,US
ACK,41.28179931640625,-70.02670288085938,US
ACO,41.1078987121582,-81.20149993896484,US
ACQ,44.0702018737793,-93.55239868164062,US
ACT,31.66230010986328,-97.2689971923828,US
ACV,40.98139953613281,-124.10800170898438,US
ACY,39.45589828491211,-74.57630157470703,US
ACZ,34.71630096435547,-78.00360107421875,US
AD,33.0443000793457,-96.87049865722656,US
ADF,34.05540084838867,-93.10489654541016,US
ADG,41.869998931884766,-84.07749938964844,US
ADH,34.8026008605957,-96.67009735107422,US
ADK,51.87189865112305,-176.67599487304688,US
ADM,34.21160125732422,-97.16829681396484,US
ADN,25.86540031433105,-100.23899841308594,MX
ADT,39.838600158691406,-101.04499816894533,US
ADU,41.69029998779297,-94.91000366210938,US
ADW,38.80720138549805,-76.86620330810547,US
AE,35.21730041503906,-106.71299743652344,US
AEA,36.61449813842773,-78.0531997680664,US
AEE,34.19179916381836,-95.6519012451172,US
AEL,43.68180084228516,-93.37079620361328,US
AES,62.96580123901367,-141.88800048828125,US
AEX,31.25670051574707,-92.5009994506836,US
AEY,36.1161994934082,-87.74130249023438,US
AFD,47.81510162353516,-103.25800323486328,US
AFE,56.96390151977539,-133.91200256347656,US
AFK,40.60559844970703,-95.86080169677734,US
AFP,35.02399826049805,-80.08300018310547,US
AG,33.28689956665039,-81.9468994140625,US
AGC,40.27870178222656,-80.04090118408203,US
AGJ,31.185,-98.141,US
AGU,21.71139907836914,-102.31900024414062,MX
AGZ,43.0625,-98.29229736328124,US
AHC,40.26789855957031,-120.1520004272461,US
AHH,45.28139877319336,-92.37129974365234,US
AHN,33.947601318359375,-83.32479858398438,US
AHQ,41.239200592041016,-96.59839630126952,US
AHT,51.37969970703125,-179.25799560546875,US
AHX,32.1593017578125,-95.8302001953125,US
AI,40.06949996948242,-85.51069641113281,US
AI,34.232398986816406,-96.93309783935548,US
AIA,42.05559921264648,-102.8040008544922,US
AIG,45.158599853515625,-89.11380004882812,US
AIK,33.651798248291016,-81.6771011352539,US
AIO,41.40399932861328,-95.04630279541016,US
AIR,40.016998291015625,-80.81729888916016,US
AIT,46.54750061035156,-93.67520141601562,US
AIV,33.11399841308594,-88.18560028076172,US
AIX,60.3849983215332,-166.21499633789062,US
AIZ,38.09659957885742,-92.5531005859375,US
AJG,38.61199951171875,-87.7260971069336,US
AJR,34.50149917602539,-83.54989624023438,US
AJW,45.79169845581055,-95.30549621582033,US
AJX,36.18059921264648,-91.60659790039062,US
AK,58.73720169067383,-156.7779998779297,US
AK,41.069801330566406,-81.38749694824219,US
AKL,33.19110107421875,-99.72000122070312,US
AKN,58.724700927734375,-156.7519989013672,US
AKO,40.15560150146485,-103.18000030517578,US
AKP,68.1365966796875,-151.74400329589844,US
AKQ,36.98320007324219,-77.0010986328125,US
AKW,55.56859970092773,-133.07899475097656,US
AL,42.62220001220703,-92.5093994140625,US
AL,46.17549896240234,-118.1959991455078,US
AL,42.81729888916016,-73.81060028076172,US
AL,38.855098724365234,-89.93820190429688,US
ALB,42.74720001220703,-73.8031997680664,US
ALD,33.01250076293945,-81.29219818115234,US
ALI,27.73979949951172,-98.02130126953124,US
ALJ,60.47980117797852,-146.58700561523438,US
ALO,42.55649948120117,-92.3989028930664,US
ALP,42.23870086669922,-76.76399993896484,US
ALS,37.34920120239258,-105.81600189208984,US
ALU,42.0432014465332,-102.79900360107422,US
ALW,46.08700180053711,-118.29299926757812,US
AM,27.8612003326416,-82.5457992553711,US
AM,35.14649963378906,-101.80500030517578,US
AMF,67.10679626464844,-157.85800170898438,US
AMG,31.536500930786133,-82.50810241699219,US
AML,38.934600830078125,-77.4666976928711,US
AMN,43.32339859008789,-84.78520202636719,US
AMT,38.855899810791016,-83.56379699707031,US
AN,29.604900360107425,-98.57140350341795,US
AN,33.534400939941406,-85.93080139160156,US
AN,32.739898681640625,-117.21600341796876,US
ANC,61.15079879760742,-150.20700073242188,US
AND,34.49810028076172,-82.70850372314453,US
ANI,61.5901985168457,-159.59800720214844,US
ANN,55.06039810180664,-131.5780029296875,US
ANQ,41.63980102539063,-85.08689880371094,US
ANR,32.34859848022461,-102.53600311279295,US
ANV,62.64139938354492,-160.19000244140625,US
ANW,42.56909942626953,-99.9897003173828,US
ANX,39.095401763916016,-94.12879943847656,US
ANY,37.15890121459961,-98.1707000732422,US
AOC,43.5989990234375,-113.34200286865234,US
AOH,40.70709991455078,-83.96820068359375,US
AOO,40.32540130615234,-78.30370330810547,US
AOP,41.60419845581055,-109.0019989013672,US
AOV,36.96979904174805,-92.67739868164062,US
AP,48.8739013671875,-123.29000091552734,CA
AP,39.45190048217773,-104.84600067138672,US
AP,44.96070098876953,-83.55999755859375,US
AP,44.824100494384766,-93.30580139160156,US
APE,40.151100158691406,-82.58830261230469,US
APF,26.15570068359375,-81.77439880371094,US
APG,39.535099029541016,-76.1063003540039,US
APH,38.087799072265625,-77.32489776611328,US
APN,45.082801818847656,-83.55699920654297,US
APN,19.63719940185547,-98.39859771728516,MX
APT,35.059600830078125,-85.58390045166016,US
AQ,44.21590042114258,-88.39900207519531,US
AQE,35.70690155029297,-77.37190246582031,US
AQP,45.22850036621094,-96.0094985961914,US
AR,29.95630073547364,-91.86329650878906,US
AR,41.81039810180664,-71.35320281982422,US
ARD,40.253299713134766,-74.90760040283203,US
ARF,34.252899169921875,-86.22360229492188,US
ARG,36.11000061035156,-90.95369720458984,US
ARH,31.585599899291992,-110.33899688720705,US
ARM,29.254600524902344,-96.1520004272461,US
ART,43.95199966430664,-76.0645980834961,US
ARV,45.92679977416992,-89.72850036621094,US
AS,42.82339859008789,-71.60209655761719,US
ASJ,36.29930114746094,-77.17549896240234,US
ASP,44.449100494384766,-83.39430236816406,US
AST,46.16170120239258,-123.87999725341795,US
ASX,46.54940032958984,-90.91719818115234,US
AT,33.64680099487305,-84.54209899902344,US
AT,44.16239929199219,-88.58489990234375,US
AT,39.84700012207031,-84.33480072021484,US
AT,44.80329895019531,-97.1501007080078,US
ATA,33.10369873046875,-94.19049835205078,US
ATK,70.46910095214844,-157.427001953125,US
ATL,33.62910079956055,-84.43509674072266,US
ATR,38.80979919433594,-75.2113037109375,US
ATS,32.85260009765625,-104.46199798583984,US
ATU,52.82889938354492,173.17999267578125,US
ATY,44.97969818115234,-97.1417007446289,US
AU,30.235700607299805,-97.62570190429688,US
AU,44.41080093383789,-69.86060333251953,US
AU,32.509300231933594,-85.43720245361328,US
AUG,44.31999969482422,-69.79660034179688,US
AUH,40.89250183105469,-97.99720001220705,US
AUW,44.8468017578125,-89.58660125732422,US
AV,41.27690124511719,-75.77570343017578,US
AVE,35.64699935913086,-119.97899627685548,US
AVK,36.77920150756836,-98.67120361328124,US
AVN,43.0098991394043,-77.76930236816406,US
AVQ,32.411800384521484,-111.21600341796876,US
AVZ,32.760101318359375,-96.24909973144533,US
AW,48.07609939575195,-122.15399932861328,US
AWG,41.27980041503906,-91.67259979248048,US
AWM,35.139400482177734,-90.23259735107422,US
AWS,32.2932014465332,-85.02330017089844,US
AXA,43.08140182495117,-94.27249908447266,US
AXC,39.7375214,-88.8564314,US
AXN,45.95840072631836,-95.23259735107422,US
AY,51.38639831542969,-56.09659957885742,CA
AY,31.32559967041016,-82.39810180664062,US
AYS,31.269399642944336,-82.556396484375,US
AZ,42.13109970092773,-85.52980041503906,US
AZC,36.95989990234375,-113.00900268554688,US
AZE,31.880199432373047,-82.64739990234375,US
AZN,39.88399887084961,-94.908203125,US
AZO,42.23699951171875,-85.5531997680664,US
AZQ,37.391300201416016,-83.26300048828125,US
AZS,38.01020050048828,-78.51809692382812,US
AZW,36.38100051879883,-80.54019927978516,US
B5,53.52220153808594,-96.37529754638672,CA
BA,39.32220077514648,-85.81849670410156,US
BA,42.24829864501953,-72.69629669189453,US
BA,44.8567008972168,-92.9844970703125,US
BAB,39.13479995727539,-121.44100189208984,US
BAD,32.503299713134766,-93.66780090332033,US
BAE,43.11690139770508,-88.2843017578125,US
BAF,42.1619987487793,-72.71620178222656,US
BAJ,40.53219985961914,-103.2300033569336,US
BAL,39.17110061645508,-76.66130065917969,US
BAM,40.56919860839844,-116.9219970703125,US
BAR,36.15349960327149,-81.87979888916016,US
BAV,35.214298248291016,-89.04209899902344,US
BAX,43.78279876708984,-82.98380279541016,US
BBB,45.32720184326172,-95.65029907226562,US
BBD,31.17799949645996,-99.32260131835938,US
BBN,40.67250061035156,-73.3843994140625,US
BBW,41.43410110473633,-99.63590240478516,US
BC,49.117801666259766,-68.32610321044922,CA
BCC,65.17389678955078,-152.20599365234375,US
BCE,37.68920135498047,-112.3040008544922,US
BCK,44.25469970703125,-90.8489990234375,US
BCZ,32.11429977416992,-88.12139892578125,US
BD,50.29169845581055,-105.44200134277344,CA
BD,41.87739944458008,-72.76619720458984,US
BDB,37.57040023803711,-75.79830169677734,US
BDD,37.14550018310547,-88.67050170898438,US
BDE,48.722801208496094,-94.6072998046875,US
BDF,41.159698486328125,-89.58789825439453,US
BDL,41.94100189208984,-72.6885986328125,US
BDQ,35.13930130004883,-92.71240234375,US
BDR,41.16070175170898,-73.12449645996094,US
BE,42.47980117797852,-71.38860321044922,US
BE,42.126800537109375,-86.31330108642578,US
BEA,28.36860084533692,-97.79540252685548,US
BEP,32.457401275634766,-83.76570129394531,US
BEQ,33.3119010925293,-86.92320251464844,US
BES,34.620201110839844,-79.73320007324219,US
BET,60.7848014831543,-161.82400512695312,US
BEX,40.744998931884766,-92.43049621582033,US
BF,41.56909942626953,-81.57379913330078,US
BF,41.80270004272461,-103.4990005493164,US
BF,47.63249969482422,-122.38899993896484,US
BF,35.372398376464844,-118.9810028076172,US
BFA,45.16669845581055,-84.9218978881836,US
BFD,41.786399841308594,-78.61940002441406,US
BFE,33.17919921875,-102.19100189208984,US
BFF,41.89419937133789,-103.48200225830078,US
BFK,36.864200592041016,-99.62010192871094,US
BFM,30.612699508666992,-88.05549621582031,US
BFR,38.83940124511719,-86.43679809570312,US
BFV,35.236900329589844,-99.2061996459961,US
BFW,47.2505989074707,-91.41410064697266,US
BG,44.727500915527344,-68.71289825439453,US
BG,42.10469818115234,-75.89119720458984,US
BGD,35.807098388671875,-101.38200378417967,US
BGF,35.178001403808594,-86.06819915771484,US
BGQ,61.56949996948242,-149.9669952392578,US
BGR,44.84180068969727,-68.8740005493164,US
BGS,32.38560104370117,-101.48400115966795,US
BH,33.51129913330078,-86.84559631347656,US
BH,44.538700103759766,-68.30660247802734,US
BHC,31.71199989318848,-82.39019775390625,US
BHG,33.15840148925781,-95.61830139160156,US
BHN,37.6974983215332,-92.10379791259766,US
BHU,40.3754997253418,-79.27169799804688,US
BHW,44.24860000610352,-84.08390045166016,US
BI,46.69810104370117,-100.64800262451172,US
BI,45.85219955444336,-108.69499969482422,US
BIB,38.9202995300293,-88.48179626464844,US
BIE,40.30139923095703,-96.75460052490234,US
BIG,64.00440216064453,-145.7169952392578,US
BIH,37.37699890136719,-118.36699676513672,US
BIL,45.80860137939453,-108.625,US
BIS,46.76179885864258,-100.66500091552734,US
BIX,30.407100677490234,-88.92970275878906,US
BJB,43.422000885009766,-88.12519836425781,US
BJC,39.91299819946289,-105.13899993896484,US
BJI,47.57590103149414,-95.0248031616211,US
BJT,33.951499938964844,-83.21959686279297,US
BJU,40.36360168457031,-96.81289672851562,US
BJX,20.997299194335938,-101.48300170898438,MX
BK,64.314697265625,-96.064697265625,CA
BK,43.22249984741211,-75.48259735107422,US
BKA,56.85940170288086,-135.55099487304688,US
BKD,32.74729919433594,-98.89119720458984,US
BKE,44.840599060058594,-117.80799865722656,US
BKF,39.707401275634766,-104.7519989013672,US
BKK,30.851600646972656,-85.60130310058594,US
BKL,41.52870178222656,-81.66339874267578,US
BKO,33.3468017578125,-81.42410278320312,US
BKS,27.206899642944336,-98.1218032836914,US
BKT,37.12789916992188,-78.04139709472656,US
BKU,46.34799957275391,-104.25599670410156,US
BKW,37.78030014038086,-81.12349700927734,US
BKX,44.303199768066406,-96.81510162353516,US
BKZ,34.88140106201172,-91.17769622802734,US
BL,38.46469879150391,-89.75640106201172,US
BL,43.060001373291016,-87.87670135498047,US
BL,48.89910125732422,-122.53500366210938,US
BLD,35.99580001831055,-114.86399841308594,US
BLE,32.8306999206543,-91.19010162353516,US
BLF,37.306400299072266,-81.19429779052734,US
BLH,33.596099853515625,-114.76100158691406,US
BM,50.13719940185547,-97.30970001220705,CA
BM,39.056400299072266,-86.59919738769531,US
BMC,41.51580047607422,-112.0780029296875,US
BMI,40.48080062866211,-88.93119812011719,US
BML,44.633399963378906,-71.18609619140625,US
BMQ,30.74029922485352,-98.23619842529295,US
BMW,33.93539810180664,-83.5895004272461,US
BN,36.03099822998047,-86.7218017578125,US
BNA,36.137001037597656,-86.68479919433594,US
BNH,30.222400665283203,-96.37349700927734,US
BNR,41.016700744628906,-83.6666030883789,US
BNW,42.054298400878906,-93.85310363769533,US
BO,36.39860153198242,-82.49620056152344,US
BO,43.596900939941406,-116.31500244140624,US
BO,42.27379989624024,-71.04920196533203,US
BOB,61.16780090332031,-150.177001953125,US
BOD,46.18510055541992,-103.4290008544922,US
BOI,43.55279922485352,-116.19200134277344,US
BOS,42.357398986816406,-70.989501953125,US
BOY,43.46319961547852,-108.3000030517578,US
BOZ,41.71110153198242,-89.78559875488281,US
BP,29.996299743652344,-94.1063995361328,US
BPI,42.57939910888672,-110.10900115966795,US
BPO,36.53950119018555,-84.47599792480469,US
BPT,29.94610023498535,-94.01619720458984,US
BPW,35.69269943237305,-90.01290130615234,US
BQ,31.22830009460449,-81.5427017211914,US
BQM,38.230201721191406,-85.66470336914062,US
BQP,32.75510025024414,-91.8834991455078,US
BQS,39.63059997558594,-93.87529754638672,US
BQU,40.75970077514648,-115.76100158691406,US
BQZ,40.46369934082031,-106.87200164794922,US
BR,49.90779876708984,-100.072998046875,CA
BR,33.64540100097656,-84.31120300292969,US
BR,25.98360061645508,-97.50900268554688,US
BR,40.65420150756836,-91.1230010986328,US
BR,46.45660018920898,-94.02279663085938,US
BRA,35.27280044555664,-82.47100067138672,US
BRD,46.34830093383789,-94.0260009765625,US
BRK,38.94449996948242,-104.63300323486328,US
BRL,40.7234001159668,-90.9259033203125,US
BRO,25.92410087585449,-97.37529754638672,US
BRV,38.33629989624024,-77.35289764404297,US
BRW,71.27339935302734,-156.78799438476562,US
BSF,19.763399124145508,-155.593994140625,US
BSR,36.18130111694336,-121.64199829101562,US
BST,44.4109992980957,-69.01069641113281,US
BSV,40.740699768066406,-81.43209838867188,US
BT,42.36190032958984,-85.18419647216797,US
BT,30.58289909362793,-91.21099853515624,US
BT,44.53219985961914,-73.24949645996094,US
BTG,45.74779891967773,-122.59200286865234,US
BTI,70.13069915771484,-143.6439971923828,US
BTL,42.30979919433594,-85.2522964477539,US
BTN,45.81919860839844,-97.74559783935548,US
BTR,30.48509979248047,-91.29409790039062,US
BTS,58.999698638916016,-158.54800415039062,US
BTT,66.90499877929688,-151.53599548339844,US
BTV,44.397098541259766,-73.18260192871094,US
BTY,36.80059814453125,-116.7480010986328,US
BU,39.81930160522461,-83.20490264892578,US
BU,43.00019836425781,-78.65080261230469,US
BUA,45.55220031738281,-103.45600128173828,US
BUB,41.77470016479492,-99.14550018310548,US
BUD,40.61660003662109,-83.06379699707031,US
BUF,42.92900085449219,-78.64630126953125,US
BUH,39.08409881591797,-76.76000213623047,US
BUM,38.272098541259766,-94.48819732666016,US
BUP,44.69729995727539,-69.35780334472656,US
BUU,42.689300537109375,-88.30180358886719,US
BV,46.87120056152344,-71.28140258789062,CA
BV,36.839500427246094,-96.01399993896484,US
BV,35.70320129394531,-91.79779815673828,US
BVG,31.33679962158203,-85.9832992553711,US
BVK,65.97979736328125,-161.1490020751953,US
BVL,40.72610092163086,-113.75700378417967,US
BVN,41.72959899902344,-98.05269622802734,US
