city,lat,lng
Sunrise Manor,36.1783,-115.0487
Grand Prairie,32.6871,-97.0208
Ocala,29.178,-82.1511
Waco,31.5599,-97.1882
Overland Park,38.887,-94.687
Frederick,39.4337,-77.4141
Huntington Beach,33.696,-118.0018
Santa Barbara,34.4285,-119.7202
Peoria,33.7843,-112.2989
Cedar Rapids,41.9662,-91.6783
Vancouver,45.6366,-122.5967
Glendale,34.1819,-118.2468
Gastonia,35.2494,-81.1854
Spring Hill,28.4798,-82.53
Murfreesboro,35.849,-86.4121
Tempe,33.3881,-111.9319
Paradise,36.0872,-115.1355
Newport News,37.1051,-76.5185
Erie,42.1167,-80.0733
Fort Lauderdale,26.1412,-80.1464
Gainesville,34.2902,-83.8294
Aurora,41.7638,-88.2902
Mauldin,34.7821,-82.3032
Ontario,34.0393,-117.6064
Elk Grove,38.4161,-121.3842
Panama City,30.1995,-85.6003
Cary,35.7819,-78.8195
Hemet,33.7341,-116.9969
Danbury,41.4015,-73.4709
Rancho Cucamonga,34.1247,-117.5667
Salinas,36.6883,-121.6317
Oceanside,33.2247,-117.3083
Vallejo,38.1125,-122.2342
High Point,35.991,-79.9937
Garden Grove,33.7787,-117.9601
Pembroke Pines,26.0128,-80.3382
Lancaster,34.6935,-118.1753
Marysville,48.0809,-122.1561
Bayamón,18.3794,-66.1635
Fredericksburg,38.2992,-77.4872
Visalia,36.3276,-119.3269
Tuscaloosa,33.2348,-87.5268
Palmdale,34.5944,-118.1057
Santa Cruz,36.9789,-122.0346
Medford,42.3372,-122.854
Norwich,41.5495,-72.0882
Merced,37.3057,-120.4779
Manchester,42.9848,-71.4447
Odessa,31.8801,-102.3448
Muskegon,43.2281,-86.2562
Leesburg,28.7672,-81.8962
Lafayette,40.3991,-86.8593
Hayward,37.6328,-122.0766
Corona,33.8616,-117.5649
Paterson,40.9147,-74.1624
Alexandria,38.8185,-77.0861
Macon,32.8065,-83.6974
Lakewood,39.6977,-105.1172
Springfield,39.7709,-89.654
Kansas City,39.1235,-94.7443
Burlington,36.076,-79.4685
Warner Robins,32.5961,-83.6527
Sunnyvale,37.3836,-122.0255
Hollywood,26.0293,-80.1679
Roseville,38.7703,-121.3196
New Bedford,41.6697,-70.9428
South Lyon,42.4614,-83.6526
Bellevue,47.5951,-122.1535
Fairfield,38.2583,-122.0335
Binghamton,42.1014,-75.9093
Topeka,39.0346,-95.6955
Escondido,33.1348,-117.0723
Joliet,41.5188,-88.1499
Surprise,33.6815,-112.4515
Naperville,41.748,-88.1659
Pasadena,29.6575,-95.1498
Mesquite,32.7602,-96.5865
Champaign,40.1142,-88.2737
Pomona,34.0585,-117.7626
Houma,29.58,-90.7059
Athens,33.9508,-83.3689
St. George,37.0758,-113.5752
Beaumont,30.0849,-94.1451
Elkhart,41.6916,-85.9627
Lake Charles,30.201,-93.2111
Santa Maria,34.9333,-120.4431
Yuma,32.5995,-114.5491
Olathe,38.8833,-94.82
Midland,32.0243,-102.1147
Greeley,40.4152,-104.7706
Torrance,33.8346,-118.3416
Thornton,39.9197,-104.9438
Las Cruces,32.3265,-106.7893
Columbia,38.9472,-92.3268
Fullerton,33.8841,-117.9279
Grand Junction,39.0877,-108.5673
Carolina,18.4054,-65.9792
Metairie,29.9977,-90.178
Orange,33.8038,-117.8218
Warren,42.4934,-83.027
West Valley City,40.6886,-112.0123
Hampton,37.0551,-76.363
Pasadena,34.1597,-118.139
Miramar,25.9773,-80.3351
Elizabeth,40.6658,-74.1913
Stamford,41.1039,-73.5585
Racine,42.7274,-87.8135
Kent,47.3887,-122.2128
Yakima,46.5923,-120.5496
Coral Springs,26.2702,-80.2591
Sterling Heights,42.5809,-83.0305
Billings,45.7891,-108.5526
Bloomington,40.4757,-88.9703
Charleston,38.3484,-81.6322
Carrollton,32.989,-96.8999
Tyler,32.3184,-95.3062
Iowa City,41.6559,-91.5303
Johnson City,36.3406,-82.3806
Santa Clara,37.3646,-121.968
Bellingham,48.7548,-122.469
Norman,35.2335,-97.3471
Coeur d'Alene,47.704,-116.7936
Fort Smith,35.3495,-94.3695
Lewisville,33.0454,-96.9815
Dover,39.161,-75.5202
Yuba City,39.1357,-121.6383
Lehigh Acres,26.612,-81.6388
Abilene,32.4543,-99.7384
Simi Valley,34.2663,-118.749
Pearland,29.5581,-95.3218
Kenosha,42.5865,-87.8773
Arecibo,18.4491,-66.7387
Meridian,43.6116,-116.3977
Round Rock,30.527,-97.6642
Waldorf,38.6085,-76.9194
Temple,31.1068,-97.3891
Lynchburg,37.4003,-79.1909
Rochester,44.0154,-92.478
Logan,41.7399,-111.8422
Arvada,39.832,-105.151
Clovis,36.8278,-119.683
Independence,39.0871,-94.3501
Redding,40.5698,-122.365
Greenville,35.5943,-77.376
Duluth,46.7756,-92.1393
Berkeley,37.8722,-122.276
Boulder,40.0248,-105.2524
Pueblo,38.2701,-104.6114
West Palm Beach,26.7469,-80.132
Burlington,44.4876,-73.2316
Seaside,36.6224,-121.8199
Richardson,32.9716,-96.7093
Cambridge,42.3759,-71.1185
Monroe,32.5185,-92.0774
North Charleston,32.9067,-80.0722
Saginaw,43.4199,-83.9501
Clearwater,27.979,-82.7623
The Woodlands,30.1738,-95.5134
Brandon,27.9367,-82.3
St. Cloud,45.534,-94.1718
West Jordan,40.6024,-112.0008
Broken Arrow,36.038,-95.7806
Harlingen,26.1916,-97.6977
Kailua,21.392,-157.7396
Westminster,39.8837,-105.0624
Gilroy,37.0046,-121.5854
Richmond,37.9477,-122.3389
Mandeville,30.3751,-90.0904
Utica,43.0962,-75.2261
Ponce,18.0127,-66.6212
League City,29.4874,-95.1087
Port Arthur,29.8554,-93.9264
Lowell,42.6389,-71.3217
East Los Angeles,34.0326,-118.1691
Carlsbad,33.1246,-117.2834
Elgin,42.0383,-88.324
Waterloo,42.4918,-92.3522
Leominster,42.5209,-71.7717
Bend,44.0563,-121.3095
Sioux City,42.4959,-96.3901
Gresham,45.5021,-122.4413
Longview,32.5193,-94.7622
Pompano Beach,26.2428,-80.1312
Downey,33.9379,-118.1311
Murrieta,33.5719,-117.1909
Idaho Falls,43.4871,-112.0362
Miami Gardens,25.9433,-80.2426
Everett,47.9525,-122.1669
Holland,42.7677,-86.0984
Costa Mesa,33.6667,-117.9135
Temecula,33.4928,-117.1315
Jacksonville,34.7289,-77.3941
San Buenaventura,34.2741,-119.2314
Sugar Land,29.5935,-95.6358
Chico,39.7578,-121.8161
South Fulton,33.6273,-84.58
Sparks,39.5736,-119.7161
Eau Claire,44.8197,-91.4948
Auburn,32.6087,-85.4903
Dearborn,42.3127,-83.213
Riverview,27.8227,-82.3023
Allen,33.1088,-96.6735
West Covina,34.0555,-117.9113
Centennial,39.5926,-104.8673
Bloomington,39.1637,-86.5257
Sandy Springs,33.9366,-84.3703
El Monte,34.0739,-118.0291
Hillsboro,45.5273,-122.936
Menifee,33.6909,-117.1849
Rio Rancho,35.2873,-106.6982
Davie,26.0789,-80.287
Jurupa Valley,34.001,-117.4706
Columbia,39.2004,-76.859
Inglewood,33.9566,-118.3444
Spokane Valley,47.6626,-117.2346
Renton,47.4784,-122.1918
San Tan Valley,33.1786,-111.5629
Burbank,34.1879,-118.3235
Brockton,42.0821,-71.0242
El Cajon,32.8017,-116.9604
Rialto,34.1175,-117.3892
San Mateo,37.5522,-122.3121
Goodyear,33.2614,-112.3622
Charlottesville,38.0375,-78.4855
Lafayette,39.9946,-105.0998
Lee's Summit,38.9171,-94.3816
Edinburg,26.3196,-98.1597
Daly City,37.6862,-122.4685
Wichita Falls,33.9072,-98.5291
Bowling Green,36.9716,-86.4378
Longmont,40.1686,-105.1005
Vacaville,38.3587,-121.9673
Highlands Ranch,39.5419,-104.9708
Quincy,42.2506,-71.0187
Fishers,39.9588,-85.9659
Lynn,42.4781,-70.9664
Norwalk,33.9069,-118.0829
Carmel,39.965,-86.146
Hesperia,34.3975,-117.3147
St. Augustine,29.8976,-81.31
Buckeye,33.4314,-112.6429
San Angelo,31.4424,-100.4504
Federal Way,47.3091,-122.3358
Bismarck,46.8143,-100.7694
Boca Raton,26.3752,-80.108
New Braunfels,29.6994,-98.1148
Vista,33.1896,-117.2386
Beaverton,45.4779,-122.8168
Portsmouth,36.8468,-76.354
Orem,40.2981,-111.6994
Conroe,30.3238,-95.4824
Suffolk,36.6953,-76.6398
Sunrise,26.1547,-80.2997
Lawrence,38.9597,-95.2642
Arden-Arcade,38.6017,-121.3845
Prescott Valley,34.598,-112.3185
Middletown,39.5033,-84.3659
San Germán,18.0827,-67.046
Edmond,35.6689,-97.416
Tracy,37.7269,-121.4523
Manteca,37.7927,-121.2264
Kingsport,36.5224,-82.5454
Portsmouth,43.058,-70.7826
Sandy,40.5709,-111.8506
Palm Coast,29.5389,-81.2457
Slidell,30.2887,-89.7828
San Marcos,33.135,-117.1743
Livonia,42.3972,-83.3733
Santa Fe,35.6619,-105.9819
Plantation,26.1259,-80.2617
Atascocita,29.9777,-95.1953
Fall River,41.7136,-71.1015
Compton,33.893,-118.2274
Carson,33.8374,-118.2559
La Crosse,43.8241,-91.2268
Missoula,46.8751,-114.0214
O'Fallon,38.785,-90.7175
Mount Pleasant,32.8537,-79.8203
Roswell,34.0391,-84.3513
Hoover,33.3763,-86.8068
Florence,34.178,-79.7898
Williamsburg,37.2693,-76.7076
South Gate,33.9447,-118.1926
Chino,33.9836,-117.6654
Fort Myers,26.6194,-81.8302
Kirkland,47.697,-122.2057
Santa Monica,34.0235,-118.481
Vineland,39.4653,-74.9981
Norwalk,41.1144,-73.4215
Alafaya,28.528,-81.1868
Lawton,34.6175,-98.4202
Avondale,33.3873,-112.3235
Germantown,39.1755,-77.2643
Rapid City,44.0716,-103.2204
Westminster,33.7523,-117.9938
Clifton,40.863,-74.1575
Waukegan,42.3698,-87.8716
Bloomington,44.8306,-93.3151
Mayagüez,18.2003,-67.1397
San Leandro,37.7074,-122.1599
Newton,42.3316,-71.2085
Joplin,37.0757,-94.5018
Lawrence,42.7002,-71.1626
Springdale,36.1901,-94.1574
Troy,42.5817,-83.1457
Citrus Heights,38.6948,-121.288
Deerfield Beach,26.305,-80.1277
Town 'n' Country,28.0106,-82.5763
Winchester,39.1735,-78.1746
Mission,26.2039,-98.3256
Bryan,30.665,-96.3807
Hawthorne,33.9147,-118.3476
Whittier,33.9678,-118.0188
Livermore,37.6868,-121.7607
Lake Forest,33.6605,-117.6714
San Ramon,37.7624,-121.9365
Melbourne,28.1086,-80.6627
Franklin,35.92,-86.8516
Auburn,47.3039,-122.2108
Port Huron,42.9821,-82.4388
Decatur,39.8557,-88.9342
Baytown,29.7587,-94.9671
Brooklyn Park,45.1112,-93.3505
Springfield,39.93,-83.7959
Newport Beach,33.6151,-117.8668
Westland,42.3192,-83.3805
Newark,40.0706,-82.425
Muncie,40.1989,-85.395
Farmington Hills,42.486,-83.3771
Cicero,41.8445,-87.7593
Buena Park,33.8572,-118.0046
Warwick,41.7062,-71.4334
Hattiesburg,31.3074,-89.317
Cranston,41.7658,-71.4858
Albany,31.5776,-84.1762
Layton,41.077,-111.962
Madera,36.963,-120.0778
Largo,27.9088,-82.7712
Redwood City,37.5025,-122.2253
Mountain View,37.4001,-122.0796
Pine Hills,28.5818,-81.4692
Folsom,38.6668,-121.1422
Silver Spring,39.0028,-77.0207
Johns Creek,34.0333,-84.2027
The Villages,28.9034,-81.9887
Owensboro,37.7575,-87.1172
Napa,38.2975,-122.301
New Rochelle,40.9304,-73.7836
Alhambra,34.084,-118.1355
Cheyenne,41.135,-104.7902
Miami Beach,25.8171,-80.1396
Wenatchee,47.436,-120.3295
Jackson,42.2431,-84.4038
Lehi,40.4136,-111.8725
Anderson,40.0891,-85.6892
Homestead,25.4665,-80.4472
Florence,34.8303,-87.6655
Rancho Cordova,38.5737,-121.2527
Morgantown,39.6383,-79.9464
Boynton Beach,26.5281,-80.0811
Somerville,42.3908,-71.1014
North Port,27.0576,-82.1977
Lakewood,33.8471,-118.1222
Salisbury,38.3756,-75.5865
South Jordan,40.557,-111.9784
Parma,41.3843,-81.7286
Pharr,26.1685,-98.1904
State College,40.7909,-77.8567
Plymouth,45.0225,-93.4617
Turlock,37.5053,-120.8588
Davis,38.5553,-121.737
Perris,33.7898,-117.2233
Jonesboro,35.8212,-90.6791
Tustin,33.7311,-117.8107
Terre Haute,39.466,-87.3751
Upland,34.1178,-117.6604
Georgetown,30.666,-97.6966
Texarkana,33.45,-94.0847
Kendall,25.6697,-80.3556
Pasco,46.2506,-119.1305
Milpitas,37.4336,-121.8921
Carmichael,38.6318,-121.3263
Chino Hills,33.9508,-117.7254
Flower Mound,33.0343,-97.1146
Flagstaff,35.1872,-111.6194
Alton,38.9037,-90.152
Pleasanton,37.6663,-121.8805
Cedar Park,30.5105,-97.8197
Bellflower,33.888,-118.1271
Loveland,40.4166,-105.0623
Mansfield,40.7656,-82.5275
Hammond,41.6168,-87.4909
Bethlehem,40.6266,-75.3679
Woodbury,44.9057,-92.923
Alameda,37.7668,-122.267
Wyoming,42.8908,-85.7066
Schaumburg,42.0308,-88.0838
Castle Rock,39.3763,-104.8535
Evanston,42.0464,-87.6943
Doral,25.8152,-80.3565
St. Joseph,39.7598,-94.821
Valdosta,30.8502,-83.2788
Wausau,44.962,-89.6459
Pocatello,42.8724,-112.4647
Elizabethtown,37.7031,-85.8773
Anniston,33.6712,-85.8135
Arlington Heights,42.0955,-87.9826
Rochester Hills,42.6645,-83.1563
Southfield,42.4765,-83.2605
Daytona Beach,29.1995,-81.0982
Pittsburg,38.0182,-121.8965
Oshkosh,44.0227,-88.5619
Redmond,47.6763,-122.1169
Saratoga Springs,43.0674,-73.7775
Apple Valley,34.5352,-117.2109
Mansfield,32.569,-97.1213
Pawtucket,41.8744,-71.3743
Missouri City,29.563,-95.5365
Broomfield,39.9542,-105.0526
Janesville,42.6854,-89.0135
San Marcos,29.8734,-97.9356
Camarillo,34.223,-119.0321
Jackson,35.6538,-88.8354
Dothan,31.2336,-85.407
Sherman,33.6273,-96.6221
Lauderhill,26.1605,-80.2241
Harrisonburg,38.4362,-78.8735
Bolingbrook,41.6901,-88.1021
Ellicott City,39.2774,-76.8345
Alexandria,31.2923,-92.4702
Battle Creek,42.2985,-85.2296
New Britain,41.6759,-72.7862
Sheboygan,43.7403,-87.7316
Brunswick,31.1449,-81.4746
Altoona,40.5082,-78.4007
Lodi,38.1218,-121.2932
Redlands,34.0512,-117.1712
Caguas,18.2319,-66.0388
Dale City,38.6473,-77.3459
Glen Burnie,39.156,-76.6071
Mount Vernon,40.9136,-73.8291
Lakeville,44.6774,-93.252
Dover,43.1887,-70.8845
Lebanon,40.3412,-76.4228
Rocklin,38.8075,-121.2489
Framingham,42.3085,-71.4368
Wesley Chapel,28.2106,-82.3238
Noblesville,40.0355,-86.0042
Tamarac,26.2056,-80.2539
Centreville,38.839,-77.4389
Poinciana,28.1217,-81.4821
Fairbanks,64.8353,-147.6533
Lake Elsinore,33.6847,-117.3344
Camden,39.9361,-75.1073
Rogers,36.317,-94.1531
Blaine,45.1696,-93.2077
Wilmington,39.7415,-75.5416
St. Charles,38.7954,-90.5157
Blacksburg,37.23,-80.4279
Waukesha,43.0087,-88.2464
Casas Adobes,32.3423,-111.0113
Baldwin Park,34.0829,-117.9722
Cleveland,35.1817,-84.8707
Dublin,37.7161,-121.8963
Ankeny,41.7288,-93.6031
Maple Grove,45.1089,-93.4626
Bayonne,40.6668,-74.1158
North Richland Hills,32.8604,-97.218
Eastvale,33.9617,-117.5803
Guaynabo,18.3832,-66.1134
Glens Falls,43.3109,-73.6458
Longview,46.1461,-122.963
Tulare,36.1995,-119.34
Conway,35.0753,-92.4692
West Des Moines,41.5521,-93.7806
Redondo Beach,33.8577,-118.3765
Walnut Creek,37.9024,-122.0399
Passaic,40.8574,-74.1282
Porterville,36.0643,-119.0338
Maricopa,33.0408,-112.0011
Fajardo,18.3331,-65.6589
Spring Hill,35.7437,-86.9116
Gaithersburg,39.1346,-77.2131
El Paso de Robles,35.6394,-120.656
East Orange,40.7651,-74.2117
Sumter,33.9392,-80.393
Grand Forks,47.9214,-97.0884
Bristol,36.5572,-82.2154
Michigan City,41.7092,-86.869
Gary,41.5905,-87.3473
Dubuque,42.5002,-90.707
Schenectady,42.8025,-73.9275
Casper,42.842,-106.3208
Hanford,36.3274,-119.6549
Shawnee,39.0158,-94.8076
South Hill,47.1198,-122.2853
Eagan,44.817,-93.1638
Union City,37.6032,-122.0181
Weston,26.1006,-80.4054
Kankakee,41.102,-87.8643
Leander,30.5728,-97.8618
Hammond,30.5061,-90.4563
Corvallis,44.5698,-123.2779
Apex,35.7237,-78.8743
Yorba Linda,33.889,-117.7714
Bethesda,38.9866,-77.1188
Haverhill,42.7838,-71.0871
Palo Alto,37.3905,-122.1468
Rockville,39.0834,-77.1553
Spring,30.0613,-95.383
Delray Beach,26.455,-80.0905
Watsonville,36.9206,-121.7708
Mount Vernon,48.4203,-122.3115
Palatine,42.118,-88.043
Victoria,28.8287,-96.9849
Skokie,42.036,-87.74
Morristown,36.2043,-83.3001
Sammamish,47.6017,-122.0416
Union City,40.7675,-74.0323
Queen Creek,33.2454,-111.6173
Alpharetta,34.0704,-84.2738
Lima,40.741,-84.112
Novi,42.4786,-83.4893
Great Falls,47.5022,-111.2996
Ames,42.0256,-93.6217
Juana Díaz,18.0532,-66.5044
Malden,42.4305,-71.0576
Dundalk,39.2704,-76.4942
Albany,44.6272,-123.0965
Castro Valley,37.7088,-122.0626
Dalton,34.769,-84.972
Lynwood,33.924,-118.2016
Pflugerville,30.4515,-97.6018
Sebring,27.477,-81.453
Kenner,30.0109,-90.2549
Port Charlotte,26.9918,-82.114
Waltham,42.3889,-71.2423
Commerce City,39.8641,-104.843
Brentwood,37.9356,-121.719
North Little Rock,34.7807,-92.2371
South San Francisco,37.6538,-122.4196
Bellevue,41.1485,-95.939
Burnsville,44.7648,-93.2793
Greenwood,39.6019,-86.1073
Rowlett,32.9155,-96.5489
Laguna Niguel,33.5275,-117.705
Bozeman,45.6833,-111.0558
Port Orange,29.1085,-81.0137
Reston,38.9497,-77.3461
San Clemente,33.4499,-117.6102
Caldwell,43.6453,-116.6594
Coon Rapids,45.1755,-93.3094
Millcreek,40.6892,-111.8292
Eden Prairie,44.8488,-93.4595
Parkersburg,39.2623,-81.542
Hamilton,39.3939,-84.5653
Moore,35.3293,-97.4757
Lakewood,47.1628,-122.5299
Bay City,43.5902,-83.8887
Bossier City,32.5224,-93.6668
Council Bluffs,41.2369,-95.8516
Huntersville,35.406,-80.8716
Taylor,42.226,-83.2688
Hendersonville,36.3063,-86.5997
Sanford,28.7891,-81.2757
La Habra,33.9282,-117.9515
Horizon West,28.4417,-81.6146
Dearborn Heights,42.3164,-83.2769
St. Cloud,28.2363,-81.2779
Pontiac,42.6493,-83.2878
Richland,46.2824,-119.2939
Marietta,33.9533,-84.5422
Florence-Graham,33.9682,-118.2447
Springfield,44.0538,-122.9811
Encinitas,33.0492,-117.261
Wellington,26.6461,-80.2699
Palm Harbor,28.0847,-82.7481
Montebello,34.0155,-118.1108
Woodland,38.6712,-121.75
Bristol,41.6812,-72.9407
Jupiter,26.92,-80.1128
La Mesa,32.7703,-117.0204
Pico Rivera,33.9901,-118.0888
San Rafael,37.9905,-122.5221
Meriden,41.5369,-72.7946
Euless,32.8508,-97.08
Parker,39.5084,-104.7753
Revere,42.4189,-71.004
Stonecrest,33.6842,-84.1372
Chapel Hill,35.9271,-79.0391
White Plains,41.022,-73.7547
Gardena,33.8943,-118.3072
Palm Beach Gardens,26.8466,-80.1679
Taunton,41.9036,-71.0943
Monterey Park,34.0497,-118.1326
West Allis,43.0068,-88.0296
Santee,32.8554,-116.9851
North Miami,25.9008,-80.1686
Blue Springs,39.0124,-94.2721
Des Plaines,42.0345,-87.9008
Kokomo,40.464,-86.1277
Petaluma,38.2423,-122.6266
Shoreline,47.7564,-122.3426
Medford,42.4234,-71.1087
Taylorsville,40.6569,-111.9493
Wylie,33.0362,-96.5161
Cupertino,37.3168,-122.0466
The Hammocks,25.67,-80.4482
Margate,26.2466,-80.2119
Carson City,39.1511,-119.7476
Hoboken,40.7452,-74.0281
Madison,34.7114,-86.7626
St. Clair Shores,42.4925,-82.8961
St. Peters,38.7825,-90.6061
Midwest City,35.463,-97.371
